"Nombre de imagen","PID","Nombre de sesi¢n","N£m. de sesi¢n","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","T¡tulo de ventana"
"chrome.exe","16556","Console","2","231.416 KB","Running","DESKTOP-RQDTPHQ\LesterPC","0:11:12","Recibidos (2) - proyectoso2unah@gmail.com - Gmail - Google Chrome"
"chrome.exe","6944","Console","2","7.824 KB","Running","DESKTOP-RQDTPHQ\LesterPC","0:00:00","N/D"
"chrome.exe","12768","Console","2","7.900 KB","Running","DESKTOP-RQDTPHQ\LesterPC","0:00:00","N/D"
"chrome.exe","22940","Console","2","197.796 KB","Running","DESKTOP-RQDTPHQ\LesterPC","0:02:30","N/D"
"chrome.exe","5716","Console","2","40.292 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:01:41","N/D"
"chrome.exe","21964","Console","2","109.304 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:03:49","N/D"
"chrome.exe","22008","Console","2","30.680 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:00","N/D"
"chrome.exe","20364","Console","2","127.156 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:27","N/D"
"chrome.exe","21656","Console","2","53.692 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:07","N/D"
"chrome.exe","21772","Console","2","83.324 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:15","N/D"
"chrome.exe","9768","Console","2","85.600 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:01:13","N/D"
"chrome.exe","11560","Console","2","111.076 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:41","N/D"
"chrome.exe","19172","Console","2","132.992 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:01:05","N/D"
"chrome.exe","15476","Console","2","81.640 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:01:17","N/D"
"chrome.exe","21932","Console","2","141.528 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:25","N/D"
"chrome.exe","9172","Console","2","481.012 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:14:19","N/D"
"chrome.exe","8840","Console","2","37.524 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:01","N/D"
"chrome.exe","14760","Console","2","68.992 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:01:10","N/D"
"chrome.exe","10816","Console","2","23.052 KB","Unknown","DESKTOP-RQDTPHQ\LesterPC","0:00:00","N/D"
